title,count,organisations
"AHUJA, HORN, SOUND PROJECTER, 2 CORE ROUND CABLE, STAY WIRE, PORCELAIN, CONFERENCE MIKE, COPPER WIRE, MOBIL",7,['central industrial security force']
"AINCOL IV, SPAS EDGE INJ, VOMIEND INJ, DROJEM INJ, BELOPRAZ 40 INJ, DRUONE TH INJ, ALCIPRO IV, METRON IV, N",4,['central reserve police force']
AIR BEAM INFLATABLE TENT AS PER MHA ARTDs,4,['national security guard']
"AIR FILTER TATA XENON, AIR FILTER TATA 407 BS III, CHECK NUT TATA 407 BS III, CHECK NIT LOCK TATA 407",28,['central armed police forces']
"AIR FILTTER TATA 1212, BRAKE LINNER TATA 1613, BRAKE LINNER TATA 1212, TIE ROD END KIT, SPEEDO METER CA",4,['indo tibetan border police']
"AIR GUIDE COVER FOR HONDA EM 650, BOLT FLANGE GUIDE COVER FOR HONDA EM 650, COVER SPARK CHECK FOR HON",4,['border security force']
AL Cart Case 45 mm with BCC,22,['border security force']
"ALBUMIN PRODUCT CODE 120265, ALKALINE PHOSPHATE PRODUCT CODE 121158, BIL D PRODUCT CODE 120623, BIL T",4,['indo tibetan border police']
"ALDAGESIC P TAB, AUGMANTIN 625 TAB, AVIL 25 TAB, AZITHRAL 500 TAB, CHYMORAL FORTE TAB, FLEXON MR TAB, KET",4,['border security force']
"ALKALINE PHOSPHATE KIT, CHOLESTROL KIT, TRIGLYCERIDE KIT, GLUCOSE KIT, URIC ACID KIT, HDL DIRECT KIT, BIL",7,['border security force']
"ALMOND, PEANUTS, SUNFLOWER SEEDS, MAX PROTEIN ACTIVE CHOCO SLIM BAR, NUTRITION ENERGY DRINK MIX",4,['central armed police forces']
"AMC charges for 3x200 kva DG Sets, Coolant complete E G 1X3 for 200 kva DG Set, Element Air cleaner 3",4,['indo tibetan border police']
AMC of Integrated Security and Surveillance System- Health Monitoring Solution for CCTV System; Co,4,['indo tibetan border police']
AMC of Integrated Security and Surveillance System- Security and Access Control System; Comprehens,19,['border security force']
"AMC/ CMC of Fire Detection, Fire Alarm, Fire Hydrant and Sprinkler System",19,"['indo tibetan border police', 'national security guard']"
"AMC/ CMC of Fire Extinguishers- CAMP AREA AND BOP LOCATIONS; Dry Powder Fire Extinguisher, AMC/ C",16,['indo tibetan border police']
"AMC/ CMC of Fire Extinguishers- Mixed Occupancy; Dry Powder Fire Extinguisher, AMC/ CMC of Fire E",7,['indo tibetan border police']
AMC/ CMC of Fire Extinguishers- Residential; Dry Powder Fire Extinguisher,4,['indo tibetan border police']
"AMC/ CMC of Fire Extinguishers- Residential; Dry Powder Fire Extinguisher, AMC/ CMC of Fire Extin",4,['indo tibetan border police']
AMC/ CMC of Fire Extinguishers- Residential; dry powder foam based abc type,4,['indo tibetan border police']
"ANGLE COCK, BIB COCK BIG SIZE LONG BODY, BIB COCK SMALL SIZE SHORT BODY, PILLAR COCK CONTIENTAL, WASTE",16,['central reserve police force']
"ANGLE COCK, STEEL BIB COCK BIG SIZE LONG BODY, STEEL BIB COCK SMALL SIZE SHORT BODY, PILLAR COCK CONTI",13,['central reserve police force']
ANNUAL MAINTENANCE SERVICE- VIDEO CONFERENCING SYSTEM- Video Conferencing End Point with Integrat,10,['national security guard']
ANNUAL MAINTENANCE SERVICE- VIDEO/ DATA WALL- data wall display; INTELLTECH DATA WALL CONTROLLER,7,['indo tibetan border police']
ANNUAL MAINTENANCE SERVICE- VIDEO/ DATA WALL- data wall display; intellitech data wall controller,7,['indo tibetan border police']
ANNUAL MAINTENANCE SERVICES FOR WATER PURIFICATION AND CONDITIONING SYSTEM ( Version 2 )- 100 KLD De,22,['border security force']
ANNUAL MAINTENANCE SERVICES FOR WATER PURIFICATION AND CONDITIONING SYSTEM ( Version 2 )- 8LPH; ANNU,31,['indo tibetan border police']
