item,count,ref_nos
construction of two nos. ramps near 112 dials/ police headquarter ( km. 08,1,"[""['PIU-LKO/Ramp/Shaheed Path/2022-23/10']""]"
both sides ),1,"[""['PIU-LKO/Ramp/Shaheed Path/2022-23/10']""]"
b ) in the state of uttar pradesh,1,"[""['PIU-LKO/Ramp/Shaheed Path/2022-23/10']""]"
jacket ( up police ),6,"[""['GEM/2021/B/993485']"", ""['GEM/2023/B/2947851']"", ""['GEM/2021/RA/85082']"", ""['GEM/2020/B/696733', 'GEM/2020/R/21758']"", ""['GEM/2020/B/757089', 'GEM/2020/R/23353']"", ""['GEM/2020/B/757089']""]"
jacket up police,3,"[""['GEM/2022/B/2639534', 'GEM/2022/R/146206']"", ""['GEM/2022/B/2639534']"", ""['GEM/2022/B/2326108']""]"
result for supply of meterial of ghudswar police shakha bareilly police,1,"[""['GHA-03/2024 DATED 17.03.2024']""]"
supply of steel of police modern school at police line baharaich up,1,"[""['629/PAN/CUG/19-20 Dt- 19-11-2019']""]"
construction of police morden school at police line bahraich 271801,1,"[""['379/PAN/CUG/19-20 DT 26.09.2019']""]"
construction of 200 persons police barrack at police line mirzapur,1,"[""['1751/W-1/13 dated 02/08/2017']""]"
maintenance of 20 toilets complex of ghudswar police in police lines bareilly,1,"[""['BHA-84/2023 DATED 08.02.2024']""]"
supply of tiles construction of police modern school at police line bahraich,1,"[""['1090/PAN/CUG/E-TENDERING/19-20 Dt. 25-02-2020']""]"
supply of building material of police modern school at police line baharaich up,1,"[""['628/PAN/CUG/19-20 Dt- 19-11-2019']""]"
bran for cavalier police in aligarh police line,1,"[""['B-14/2019']""]"
supply gram barley,1,"[""['B-14/2019']""]"
construction of saifar centre near police club at police line baghpat,1,"[""['P-70/2018 Dt. 13-02-2018']""]"
1- special repairs to the floor in front of the superintendent of police in the police office,1,"[""['P-70/2017 Dt. 3-01-2018']""]"
motor boat ( up police ),1,"[""['GEM/2024/B/5736520', 'GEM/2025/R/443407']""]"
police dogs ( v1 ),10,"[""['GEM/2024/B/5509494']"", ""['GEM/2024/B/5467540']"", ""['GEM/2024/B/5483403']"", ""['GEM/2024/B/5076176']"", ""['GEM/2024/B/4515867']"", ""['GEM/2024/B/5581204']"", ""['GEM/2024/B/4578636', 'GEM/2024/R/312088']"", ""['GEM/2024/B/5563626']"", ""['GEM/2024/B/5606033']"", ""['GEM/2024/B/5077536']""]"
v1,1,"[""['GEM/2024/B/4639509']""]"
police dogs,1,"[""['GEM/2024/B/4639509']""]"
repairing of police quarter,1,"[""['BH-224/24']""]"
forensic university,1,"[""['1221 /General/Building Cell/19-20 Dated-10-09-2020']""]"
up police,2,"[""['1221 /General/Building Cell/19-20 Dated-10-09-2020']"", ""['UPDESCO/SW/2022/VKM088']""]"
result for jacket ( up police ),1,"[""['GEM/2020/B/696733', 'GEM/2020/R/21758']""]"
police line canteen,1,"[""['101/spbna/2017-18 dt 08.02.2018']""]"
result for construction of police commisioner,1,"[""['124/W-05/23 Date 21.02.2025']""]"
office with interior work at police hq prayagraj,1,"[""['124/W-05/23 Date 21.02.2025']""]"
police line police awas ke pass,1,"[""['1241/Tender Notice/2021-22 Dt 09-12-2021']""]"
postmastar hause tak interlockin,1,"[""['1241/Tender Notice/2021-22 Dt 09-12-2021']""]"
construction of boundary wall of adrash police chowki police civil lines by red,1,"[""['1660-I/J.P./2020-21']""]"
