MP Police,,
item,count,ref_nos
other items,4,"sp/sjr/rk/1670/23, SCPH/STORE/D-347/2024, Sp/Sjr/Rk/574B/25, 57/25"
thana kotwali,1,01/2024-25
repair of basement,1,03/2020-21
repairing work for sewage work drp line morena,1,12/2020-21
manak chowk,1,20/2018-19
enhancement tool,1,"No.  SCPH/STORE/D-   715/2021,   BHOPAL"
district sports,1,38/2021-22
construction of mahila desk at thana kotwali narsinghpur,1,20/2018-19/12
result for construction of dig office rewa distt rewa,1,05/2024-25
external electrification work fsl sagar,1,07/2019-20
upgradation work at sp office gwalior,1,05/2019-20
line shifting work for govt boys higher secondary school bairasia bhopal under cm rise scheme,1,14/2024-25
painting work at kushabhau thakre stadium,1,NIT 26/2023-24_2
pratap hostel police radio training school,1,01/2021-22
construction of synthetic tennis court,1,NIT 08/2022-23_1
construction of chowkey paharikhera panna,1,21/2019-20
berja,1,11/2024-25
construction of thana habibganj at rani kamlapati railway station bhopal ( m. p. ),1,07/2023-24
05 no. toilet at police post timkitola distt. balaghat.,1,17/2023-24
construction work of indoor stadium ( double badminton coat ) at nagod distt satna,1,11/2022-23
let bath at guard room police line datia,1,01/2024-25 Date 29-11-2024
construction of separate room toilet for ladies fir room at sdop mehgao distt bhind,1,06/2019-20
result for e tender for medicine purchase for dog,1,M-662
7. 5,1,SP(R)/REWA/DISPO/337/2020 DATE-27/08/2020
result for transit o. r. hostel at maheshwar,1,27/2024-25/4
aqueous film forming foam ( afff ) liquid concentrate 6 percent,1,721/GROUP-7
repair/ upgradation work of roof,1,10/2024-25
air conditioning work ho bhopal,1,53/2018-19
construction of separate room toilet for ladies fir room at thana ajaak distt sheopur,1,25/2019-20
painting work i type 72 16 48 qtrs pts rewa,1,06/2021-22
construction of mahila desk at police thana dhamnod distt. dhar,1,12/2018-19/29
gas chromatography- mass spectrometer gc- ms,1,PHQ/15/GPC/7134-1/23
food,1,32BN/SAF/QM/M3762
02f02g02h qrs chc hindoriya damoh,1,52/2018-19
2h type qtrs at community health center,1,07/2023-24 Electrical Katni
external electrification work for upgradation work for 30 to 50 baded civil hospital at chc nalkheda distt. agar malwa ( 11/ 0. 433 kv,1,NIT 23/2023-24_2
construction of semi urban thana building grp distt guna,1,03/2021-22
renovation work at sports campus tamiya distt chhindwara,1,12/2021-22
semi urban thana madla panna,1,09/2019-20
construction of mahila desk at police thana shahpura distt. burhanpur,1,17/2018-19/5
construction of 4g type,1,03/2020-21/1
shajapur ( m. p. ),1,21/2023-24
police thana ajk,1,NIT 08/2020-21_2
supply of smps 10 ampere,1,F-819/2021  Date 30/09/2021
construction of cinder athletic running track at stadium sports complex,1,12/2022-23
